,Negative Review 1,Negative Review 2,Negative Review 3,Positive Review 1,Positive Review 2,Positive Review 3,restaurant
0,none,none,none,"Ok so imma start with a Thank You to my waitress Cynthia and the Manager Mae for their great recommendations. This was my first time here and I was not disappointed.I'm a very picky eater so for me to go to a Latin Asian Fusion restuarant I was praying the food would be great.I follow you'll on IG and seeing the pictures of the food I was like I have to go there.As soon as I walked in I was greated and seated right away.So to get to my delicious food.To start my meal off i had the Lycheetini, now I've never eaten or drank anything lychee.The mix of the vodka, lychee puree and the coconut puree was just masterful.The creaminess of the purees with the vodka was just .Mae recommended the Eel Roll and Cynthia recommended the Lycheetini.So I went with the Eel Roll and The Shrinp Tempura Roll.The sauce that came on the plates of the rolls was a great balance of sweetness to the rolls, I was ready to lick the plate clean lol.I've never eaten Eel before to for this to be my first time I was not disappointed.I was reaching for another piece and realized it was all gone lolTo close out my meal I got the Cold Sake Bomb.The bomb had a nice sweet creamy but dry fell to it. I actually liked it more then I thought I would.Thank You Shangi Red, Mae and Cynthia for a great experience.P.S. I got the Teriyaki Salmon Bento Box to Go!!","I was really conflicted in writing this review because I wanted to love this place , I was excited to see that a Latin Asian fusion restaurant was coming to the neighborhood. I decided to visit on Sunday with my 2 daughters for dinner . We got a weird vibe even before we got out of the cab because there were a lot of guys in the front , we weren't sure If they were arguing or just hanging out .We make our way around the crowd into the restaurant there was no one there to greet us. We looked around to see if there was a host then all of a sudden, from behind us came this guy which I guess was the manager that was outside with the crowd. He brought us to a table next to the bar where other patrons were smoking hookah. That was a no no for me . They had a DJ it was really loud in there where we couldn't even hold a conversation. We order about 5 appetizers, the waiter comes back to tell us that they ran out of 3 appetizers. - WTH !! I didn't understand how you can run out of so many things . We ordered 2 lychee martinis and the Vivir soñando which took forever to get when we finally receive the drinks I see that they have a really pretty flower in the martinis I guess that's why they charge you $14!!!!!The drinks were not even cold and a really small martini glass not worth the price . Now let's go back to the Appetizers- ordered Thai wings - a lot of breading, Cuban egg rolls, ok but Luke warm Ropa Vieja empanadas,- good. Ribs - we had to return they were undercooked . My daughter ordered a sprite it was flat taste like Alka seltzer !! We returned it opted out for a coke which was also flat no carbonation! The manager comes by and asked what's wrong- I told him the soda issues and the ribs he apologized and said he would check. 10 min later he comes back and says he checked the wells downstairs and they seem to be fine . He's not sure why it taste the way it did . I asked did you taste it for yourself to see ??? He said yes then proceeded to say it must be the gun and that your not going to get a lot of carbonation out of a gun like a can !!! Are you serious ?? I've dined in many places and bars where they use a gun and the sodas are not flat !!! That was not cool at all it's like he didn't believe us . Now we get our food needless to say ok nothing to brag about .  I ordered the coconut chicken with fried rice , mind you on the menu it says Coconut fried chicken i got grilled chicken with a chipotle sauce which was good but not hot , the best thing was the fried rice it was delicious. My daughters ordered Shrimp pad Thai which she did not eat - she said it didn't taste good at all and she didn't have any noodles just some shrimp and a lot of veggies! At this point we didnt even mention it to the manager when he stopped by to ask how our meals were . I was already exhausted from the whole experience. Our bill was $126 which was not worth it at all. I'm very sad to say I will not be returning until they get it together. I'm giving this place 3 stars for the decor , and our waiter Juan was very sweet and informative and the Dj played good tunes even though we thought it was too loud for a Sunday night. This place is very confusing I thought I was coming to a restaurant but it looked like a lounge/ hookah bar / club .","Note: This is a review for delivery, not dining in. The delivery estimate of 45-65 min was accurate, as food arrived in 65 minutes. I'm not too into ""fusion"" food in general, but delivery options in the Bronx are very slim, so we decided to give this place a try. We ordered: Thai Chili Wings ($12) - I was initially impressed that they had not dressed the wings prior to sending them, thinking ""Oh, that's thoughtful. They just put the sauce on the side so the wings can stay nice and crunchy before I dress them."" The salty wings were room temperature and so wet that they were soggy. The sweet Thai sauce tasted like store-bought chili sauce mixed with duck sauce and did not taste Thai-flavored at all. 1/5Pad Thai ($15) - for $15, it was an exceedingly small portion that didn't even fill the takeout container halfway (see picture). It was very veggie-heavy, which I'd be fine with if this was actually pad-thai, which it wasn't. It had soggy cashews mixed in (huh?), a handful of shrimp, and wide, over-cooked soggy noodles lightly stir-fried in a ton of soy sauce that tasted more like Chinese food than Thai. 1.5/5Spicy Salmon Roll ($8) - Typically spicy salmon rolls are about $5-7, so this was on the pricier side, especially when you take into consideration that the amount of salmon in there was VERY light. Also, this was more of an avocado-salmon roll than a spicy salmon roll, because the salmon was not dressed. Also, it was body-temperature from sitting in a bag with once-hot food, and the fish did not taste or smell fresh. I would not say that it had gone bad, but on a scale of 1-10 with 1 being super-duper fresh and 10 being rotten, I'd say this was a 6.5. I don't mess around with not-fresh sushi, so I had to toss this. Also, no soy sauce was included.  0/5Shanghai Burger with Yucca fries ($14). I ordered this burger well-done, because I generally don't trust undercooked ground beef from most restaurants. The burger that came to me was not only not-well-done, but it was bordering on raw. It was so rare, as a matter of fact, that the fat in the ground beef was still white (see picture). Yucca fries were wet and soggy but still hard in the centers. 0/5Overall, I was unhappy with the food I received. Our meal came out to over $60 (!!!!!) with tip plus a $3.50 delivery fee, and there was not a single item that we enjoyed, and the majority of the meal had to be thrown away (we ended up having to order a pizza). Obviously this is just one person's opinion, but at the very least, my two cents is that this restaurant needs to re-think their delivery containers and the timing of their delivery. If their food is sitting in a car for 40 minutes inside unvented plastic containers, there is no way that the sushi isn't getting warm and all their hot meals are turning into mush from the condensation. TBH, not sure how much better the food would be if eaten fresh out of the kitchen, but for sure, I would not personally recommend this restaurant for delivery.",Shanghai Red Asian Latin Bistro
1,none,none,none,"New season, new clubhouse, and new menu from The Waterfront NYC at Trump Golf Links Ferry Point.Right in our own Bronx backyard is a beautiful getaway, whether you play golf or not, overlooking the Whitestone and Throggs Neck bridges.  Enjoy the new clubhouse with inside and outside patio dining, crystal chandelier event hall, and a huge stunning fully stocked bar. We started out with the ""Eggplant Dip"" with plenty of grilled pita bread for dipping. Really nice noshing with our Sauvignon Blanc and Riesling picked from their extraordinary wine list. Our superb server, Fabian, helped us with our selections and was very attentive.  Gorgeously  plated in a deep blue bowl, the ""Avocado Bowl""  was filled with Tabbouleh and a perfectly grilled avocado atop, adorned with spring vegetables and a light and perfect lemon basil vinaigrette.  The favorite dish hands down, was the ""Blackened Snapper"", which was so tender yet had a beautiful, crispy, and blackened skin, accompanied by Kimchi black rice, edamame, baby radishes, and a beautiful honey sesame vinaigrette! They are introducing a more extensive menu next week and will be taking reservations for Mother's Day!  Also, like last year , they will be starting during Summer, their amazing Sunday brunch with live music, and their popular lobster bakes.","This perfect Lobster Roll is brought to you by The Waterfront NYC! I started with a nice ""Ash & Smoke"" cocktail with Altos Blanco, Ginger Beer, Smoked Paprika and Lime. When my ""Lobster Roll"" arrived I was honestly blown away by the amount of Lobster! It was a half a Lobster with delta slaw, corn, heirloom tomatoes and a drizzle of dill oil 21. It was THE BEST LOBSTER ROLL I EVER DEVOURED! Ahem... sorry for yelling but I get very passionate about great food!  Throw in a gorgeous view and top service and it's right here  in our own back yard of Da Bronx! Stop in for lunch one day and take a vacation! Lobster bake Wednesday's and Weekend Brunches also. Call for reservations.","Came here on a September Saturday night. Place wasn't packed and was able to have a nice table outside. Food was amazing. Fish tacos were out of this world. I had the burger and it was massive and cooked to perfection. Highly recommend. My boyfriend had the scallops and I tasted those as well, and they were perfect. Great spot for a date night.",The Waterfront NYC
2,none,"This place has kind of fallen off, IMO. The last time we came here, we brought my hubby's cousin since he was visiting from Florida. We had a good table, the staff was nice and accommodating but the food was horrible compared to my prior visits.They completely messed up our appetizer orders, giving us the wrong proteins with our tostone sliders. They looked pretty but they were not made right.I ordered their oxtail risotto because, that's the dish that had me in love with the place when I first visited. Unfortunately, this time it was far too salty and the risotto was way overdone. Since I was starving, I just ate what I could because, if you know me and my reviews, I never order anything else if I have to send a dish back to the kitchen. I'll sit and starve and then pick up something from somewhere else (don't judge).We've had 50/50 experiences since my vey first visit but I think this will he the last time we give them another shot. From what I've heard, they've changed chefs and that could be the reason for the inconsistency. Either way, Travesias won't be my next stop.",none,"I came here with family, a large group at that. This restaurant served us well. It's based, from what I understand, on the premise that they have traversed many lands and countries, and have fused the foods from those countries onto various dishes. The premise of this restaurant as a result, tends to create very delicious food ideas. Who would've thought a burger with sweet plantain (plátano maduros) would taste great? It did take a while for our food to arrive, given the large size of the party, and a few people that were there besides us. The food was served well on nice plates, and the restaurant was overall clean. I had no issues in general. I'd return again.",none,"My girlfriend called me up and wanted to meet for an early supper at Travesias. Upon entry, we were given a very nice table and I'm assuming it's because she's a regular so they hooked us up. The server came to the table quickly and took our orders. They have some decent specials but we went with a bottle of Tempranillo for the table. We started with the Passion Ceviché, which was very good. The portion was small but it was served in a tiny, cute mini mason jar. I liked the flavor. As we do at most outings together, we ordered a slew of items to share. We had the French Avocados which are basically huge slices of deep-fried avocado and they were crunchy on the outside but creamy inside and flavorful. We also had the Golden Crab which are basically crab wantons. They were ok but the Argentinian Steak Pinchos were tender and wonderful! We also shared an order of the Oxtail Risotto which I would have to say, was an interesting take on risotto. The oxtail meat was tender and full of flavor, as was most everything we had; the risotto was creamy and not too cheesy. I was happy with that selection. The staff very attentive. We had a great meal and I would definitely make a return visit with hubby and my son.",Travesias
3,none,none,none,"on a consistent basisI can ALWAYS say I have a good dining experience. So let me just jump into it with the pros + few cons. PROS - ambiance- music- staff are attentive (when possible) /warm/ considerate-the dinks are ALWAYS mixed well + have just enough liquor to get you right.- the food is good. not great but good for the price. strong 8/10CONS- seating outside is a bit wobbly - food is a Lil pricey -gets really crowed - loud environment  As mentioned in most of the other comments the staff is very sweet. Especially the hostess. Her name is (arcadia / sorry if I butchered that) but she is really accommodating and cares for the customers.The waitress was nice too (i didn't get her name) but she moves really quick so you better know what you want lmao. The food was good. I ordered the lobster tail with the Maduro fried rice + a side of mashed potatoes and beans. The potatoes looked delicious but were so bland and the lobster was a bit overcooked but good nonetheless.my Bf ordered the churrasco and maduro fried rice and he loved it. All in all, I've eaten here 3 different times and I can honestly say I've enjoyed my experience all those times. would recommend","It's quite fitting that this is my 1000th review.I came here with my husband's family to honor my late brother in law on the one year anniversary of his passing. We just came back from visiting his final resting place and wanted to grab something to eat, catch up and turn the day into a more joyous occasion.We were a very large group and despite having reservations, we ended up having to wait for around 25 minutes because of a group that was taking a very long time to exit the premises. When we were finally seated we were able to relax and enjoy ourselves.Our server was really on point. She was able to take care of all of our orders without issue. I had the steak and eggs which I suggest to any and everyone. It was amazeballs and came with the sexiest of white rices, all seasoned and yummy. Hubby had their ropa vieja which sat on top of a sweet arepa and he loved it. Everyone really enjoyed the food and since it was one of the first times in a long time I had some strong drinks, the sangria was hitting hard.The day turned out exactly how everyone would have wanted, with the family together, enjoying a meal, laughing, taking pictures, getting tipsy and having a good time. I need to go back there for some more of that rice. It was too damn good.","Yes, 3 stars for East Tremont!T-bone was well prepped and cooked perfectly. String beans were great, with a lil crisp. Mangu was creamy but lacked flavor. Service was good. We tipped well and then left.So the nit pick? My Tito's and seltzer with a splash of cranberry in a small, rock glass? Should be a highball so I only had one.Anyway, if you're looking for solid Latin food, this spot is an option.",Havana Cafe
4,none,none,none,Love the food in this off Arthur Street spot.  Had chicken sorrentino and Riley had the homemade gnocchi and we shared a cold antipasto.   Tiramisu and NY cheesecake and coffee for dessert. We will be back for,I was in the Bronx area yesterday and was really craving Italian food. I'm not to familiar with the area so I went to yelp for a good suggestion and ended up finding Antonio's Trattoria. This is such a old fashion Italian restaurant that you need to visit while here. The guy who I believe was the owner was out front in the bar and he seems like the man. We got situated and they immediately brought out this warm bread which was amazing with olive oil and crushed red pepper. The menu was actually very reasonable in price because I thought it was going to be insanely expensive. Food was amazing and so classic. Made me feel right at home. If your looking for that authentic NY Italian feel you have to go through Antonio's.,"We came in not knowing what to expect and we were immediately greeted by friendly Joey!We absolutely loved our meals and Joey was the sweetest, happily singing happy birthday, opera style at what seemed like every table.  I had the pasta and pollo.  It was different and tasty with bites of chicken breast, swimming in lemon sauce.My fiancé had the orecchiette with broccoli rabe.  We added sausage and that made the dish perfecto!  On our way out, Joey stopped us to give us warm hugs and complimentary limoncellos.  What an incredibly hospitable man!  Don't forget Viv and Will, Joey!We had a beautiful date night and it was full of laughter and warm people.  We highly recommend!",Antonio's Trattoria
5,none,none,none,"Update:Still my favorite spot in my hood. But they changed their brunch deal from a $9 charge for two hours of unlimited drinks to $20. They do have a $40 brunch option now that includes unlimited drinks and a 3 course meal but if you want to pick your own meal, that's not in the brunch special, and have a boozy brunch you're paying $20. I still really enjoy this place but a reason why I love it is because of the affordability.  The prices are increasing all around and I hope it continues to be as affordable and high quality as it is now Lunch specials every week day for $6- can't be beat. Drinks are always good. My favs are the rum punch and mango mojito. And the service is always great. Great for happy hour,lunch, or dinner with friends if you're into Latin cuisine","Lunch specials every week day for $6- can't be beat. Drinks are always good. My favs are the rum punch and mango mojito. And the service is always great. Great for happy hour,lunch, or dinner with friends if you're into Latin cuisine","Stumbled on Havana Cafe after wanting to grab a bite to eat in the neighborhood. We arrived after 4pm (after brunch had ended) but there were still several brunch parties still wrapping up. The vibe is lively, loud, and ""Sunday Funday""-esque in every sense of the word! (If you're looking for a mellow experience this isn't it.) For our appetizer we shared the mini empanadas, and asked for them to be mixed (with chicken, beef, and spinach with cheese.) Our main courses were the fried lobster tail and seafood paella, both of which were DELICIOUS! The portions were huge and after eating all That I possibly could fit, I took the rest to go. We washed it down with the Top Shelf Mojito (with Hennessy) and the Rum Punch. Both were potent and delicious.I look forward to coming back soon to partake in the brunch (of course!)",Havana Cafe
6,none,none,none,Check in if you're planning to sit in. It's worth the wait and the experience. The food is traditional home cooked Dominican food.  The service is excellent. The food will leave you satisfied and craving your next visit. Definitely try chimi slider !,"I Have Been Wanting To Visit This Place For A While Now , but because they close at 8 I haven't gotten the chance. Decided to Go This Past Friday Since I Got off Work Early. Got There At 625 They Told us The Wait Would Be 45min-1hr, We Didn't Get Seated till a little over 730 , and got My Food at 827 ‍ So Of Course The 2hr Wait is a bit much , I ordered the Camarones Mofongo which was cold and just a tad bit over due in the garlic. The Service isn't too great we had to change tables and thank god we did because the waiter we got was much more accommodating then the first and faster Truly sucks having to deal with sucky service, cold food and extremely long wait time because the food looks amazing , I'll try to go back maybe not on a Friday and not when I'm starving ‍","Will be back again. Great food and flavored to point. Good price. True Dominican restaurant, small narrow but quaint. Meals in small cast iron skillets, drinks in light aluminum cups, completely the humble side to a Dominican touch. The menu varies on days of the week which if you don't know the menu and want berenjena asada which is what I ordered, you would need to know which day of the week they offer it. Menu could be bigger. Restaurant is small for the amount of hype it has. Waiting is long. We went at 1pm and were seated by 2pm. Staff is very laid back. On the slow side to clear tables and get the waitlist moving. The place closes at 8pm so for people looking for a late dinner it's impossible. Must get more backed up the waitlist on the weekends. I enjoyed the dish I had. My husband ordered the mofongo and he said it was ok. He also had concon with guandules en coco which he liked a lot. Concon is the hard part of the rice at the bottom of the pot for those who have no clue. Decor is quite nice, gives you a feeling of being away in the Caribbean. Next time I will put myself in the waitlist on yelp prior to arriving to earn time.",Ajo & Oregano
7,none,none,none,One of the best diners hands down! I would come here often as my school was down the block. Breakfast and lunch this place was my stop! We would take turns making runs over to George's! I found myself thinking about it today as I no longer live in the Bronx and while the diners in LI are great none compare to George's. Everything I've eaten has been amazing! Their seasoned French fries a must! Chicken fingers and their honey mustard yum!!! I love their sandwiches! Their BLT is the best! Fresh and packed full of delicious bacon! I mean the amount they put woozer! Packed full of goodness! They give you plenty of food here so you can easily share a dish! Finally recommend this diner!,The food here is good and the service was swift. I ordered a pizza burger deluxe and my bf ordered a turkey burger deluxe. The portions were larger than I expected. Overall a good dining experience!,Me and my husband hadn't been to a diner in a long time I was in the mood for pancakes saw reviews on yelp about this place and decided to try it. So happy we did! The service was great.So much tasty food.,George's Diner & Cafe
8,none,Always on point. Food is delish. I normally always have their burritos. It definitely gets busy but it's worth the wait. It's deff a Gem in the BX,none,"There really is no need for an additional review, when a 5 star was given, but honestly I just can't enough of this place! Lol. I've tried a variety of items:Bistec encebollado Pollo a la milanesaSoft tacosNachosFlautas/ tacos doradosTamales de polloBurritoSteak fajitaChicken TenedorsGorditas de polloPechuga a la plancha Guacamole Arroz y frijolesTostones con ajoJugó de horchata & everything has always been absolutely DELISH.Service is just has great and fast. Highly recommend this place.",none,"Consistency, consistency and quality ! Wow I love them found them on yelp and I've been ordering ever since. Amazing food delicious and every time it's a delightful experience truly delicious !Oh my I had to re-edit this review my husband surprised me he order take-out he got the usual a burrito and he got me a seafood soup.All I can say for a lack of better words is WOW. Honestly WOW amazing restaurant my first favorite in BRONX! Love it!",Taqueria Tlaxcalli
9,none,"Damn near perfect. The wait time is worth it, the food is seasoned very well, the staff are beyond nice, and they have great variety.My ONLY disappointment is how quickly they run out of some product. The issue is, it is so damn good it's frustrating when you are craving it but the next batch won't be ready for hours or the next DAY. HOWEVER, better that then them going out of business by overspending on product that goes to waste or compromising on quality. My advice, grab a Margherita and some eggplant empanadas because YUMMM. Also, that green sauce on the table is liquid crack.","Delicious Colombia Food! ""Parrillada mixta! The servers are very attentive and in the background you can hear the salsa rhythm, the bits of Celia Cruz Kimbara Kumbara Kin Ban Ba!!!","AMAZING! The vegan Food is Amazing, you guys truly exceded our expectations , my husband and i go everywhere looking for great vegan food and is not always like the one we had today .Thank you for great customer service.Great food :) again .Love the ambiance.We'll definitely be back soon !",none,none,La Masa
