,Negative Review 1,Negative Review 2,Negative Review 3,Positive Review 1,Positive Review 2,Positive Review 3,restaurant
0,"Update on September 7 2019 - Stay away from this place. I had initially given this place five stars due to the quality of some of the food but brought it down to 3 stars due to owner aggression and I liked going there. I also liked buying deals to go there which were available. The last time I went there before today I met an obnoxious man who was aggressive, whose behavior was inappropriate and went way over the line in terms of professionality. I mistakenly thought that the obnoxious man who went over the line just worked there, he looked like a maniac with a white baseball cap on and  was strangely aggressive. What do I mean by that? I went ahead and kept the review I put below  which describes a creep who actually came up behind me when I took my phone out and violated my space. He was craning his neck to see what I was looking at on my cell phone. No joke he behaved as if he felt that since I was on his turf that is the restaurant, he had the right to violate my space and see what I was looking at. What if I had been looking at nude pictures of my husband? He would have seen it like an obnoxious adolescent. It was really violating my space and I was shocked but that was just the tip of the iceberg with this arrogant disrespectful man. when my son had gone up to show him the Local Flavor coupon he actually had my phone in his hand and  started swiping right to see the other screens on my phone. My son said he did that when he thought he wasn't looking. When my son caught him, he said the creep quickly swiped back to the coupon page.  I was definately angry about his aggression and violating my phone and space so rather than give a five star review I should have actually given it a One star review but I thought the creepy guy was a worker. There is no identifying picture on my Yelp account and my kids liked the food, so we returned today. Before I could even take out my phone, the creep approached my table again. He said that he did not appreciate my ""bad"" review on Yelp  I said ""I gave you 3 stars because you tried to look at my phone and actually swiped the screen when you were supposed to be copying the coupon code""  How did he know I gave him that review? the picture on my Yelp account is me at 2 years old. He knew it was me because he recognized what he did when he read my Yelp review that is how. He said I am the owner, in your review you said a man who worked here, the other man is just a worker, I am the owner and I did not like the ""bad "" review. I said 3 stars is not a bad review one star is a bad review. I told the truth that your behavior was inappropriate and aggressive. He then said he would not honor any coupons from Local flavor and that he received zero money from Local flavor and refused to honor any coupons because he pretty much told me by giving him 3 stars as my yelp review, he could not honor any coupons again. I told him i wanted to leave and my two kids and I left. He is an aggressive, inappropriate ""owner"" because now I have witnessed this incident along with my two kids one of whom is an adult and we intend to tell Local Flavor how obnoxious he is and demand our money back for the unused coupon cause we are NEVER returning to this hole in the wall place ever again. Below I left the original review just so people reading this can see what a creep the owner really is parading around trying to look at people's phones when they are sitting at a table in ""his"" restaurant. Stay Away!*Original 3 star Review:Delicious food everytime. The owner is friendly and I really like going there. I do not like the man that works there and his nosiness. I took my phone out and he came up behind me to see what I was looking at I don't know the man's name but when my son went up to him with my phone so he could get the discount code for our coupon, he actually got the number then back paged it and looked at my other coupons when he thought my son wasn't looking. I didn't know how to yell at him but I was shocked at how he then asked me to write a Yelp review or google review.","The worst restaurant i've ever ordered from grubhub . Firstly i ordered mild , the food was so spicy that i couldn't eat . I ordered take out as there was only nearby indian restaurant , i ordered a chicken biryani and literally there was just two small chicken pieces of chicken. What a shame to see a formerly great place fail on so many levels. But we thought sometimes mistake happens and then next day we went there for dine in ....................HORRIFIED EXPERIENCE! They cooked out Tandoori and still messed it up!!! We both me and my wife ordered medium rare but got well done and grey, then raw and medium well. We gave up on the 3rd time and ate what we could. My wife had 3 different temps in one tandoori and i had 1/3 perfect and 1/3 charrded hokey puck. They gave it to us on the house but I feel like a indian house should be able to cook tandoori lol. Manager was rude wearing a cap ! Also waiter was rude, inattentive and unapologetic. If i was a boss i would have kick both of them . And I have sent a message  2 weeks ago and no one has responded. Poor customer service on their website as well! I never use to complain any restaurant but , i felt like doing it so i created an account and did it. I saw the owner's comment how he is reacting to other's comment and that was rude too. Guy thinks he is an american lol !!! Racist and pooorr service that he can provide to us as an Sl... .....","Awful is an understatement!Ordered take-out, the food was pathetic. The rice was SO stale, never in my life have I had rice that bad. As for the entrees, each dish was a container filled with sauce with exactly, 5 small peices of meat. As if they counted how many peices of meat to add. Over the phone I asked for extra chutney sauce for each order. He said he'll put extra chutney and tamarind for each. When I picked up my order, he had only put one of each. I went back in to ask for extra sauce since I had 5 orders! He gave me one more of each. This stingy attitude is terrible. God knows how else the owner cuts corners. All the dishes, like the chicken Tikka masala were watered down and flavorless. Only the curry had flavor. Needless to say will never be going back.","So usually me and my boyfriend order take out here but today he decided to bring me to the actual location. The second we stepped in our server greeted us and asked if we need help ordering. I was shocked because usually servers don't really give a damn but this guy, he cared. Now 51 on the menu ( chicken chettinad) was one of the best dishes I've ever had. The flavor was amazing and even though we ordered spicy the coconut in the dish balanced it out perfectly.","Excellent Indian food. The best ever. Everything was freshly cooked with fresh ingredients, every item we ordered came out better than the next. We had Curry Chicken and Samosas and they were fantastic. We really intend to return at least once a month as we had been waiting for a good Indian place in Staten Island for a long time.","You can't beat their Chana palak! The samosa are on the spicy side (not a complaint) and truly delicious. Really friendly and vegan / vegetarian friendly owners, too. They deliver everywhere so I hope folks will try them since their location is a little less than ideal. I'd hate to see them close up shop like lots of businesses in that shopping center do.",Thali Bar Baar
1,"I've been working in the area for 3 weeks and eat here a couple of times a week. I've had steak,pasta, seafood & pork chops all consistently good. I'm obsessed with the lemon sorbet. Staff is attentive but not intrusive.","Overpriced place, I ordered the pork chops if they where any smaller you would need glasses too see them on the plate .. Plates are over priced food was  average ........","The quality of the steaks at this place have never disappointed. Price matches flavor, especially if you're a meat perfectionist. The accompanying garnishes (veggies etc.) pale in comparison to main course prep but it's a small detail and still puts together a quality dish. Parking is tough when it's crowded so get there early !","Wow this place was straight up out of a movie. Classic steakhouse in Staten Island. I was blown away by the service. The accents were tickling me, I couldn't get enough of it. The steak I had was one of the best I can remember. The sides were fantastic! I had no idea you could get such good creamed spinach and Steak on Staten Island. I was just passing through, very glad I stopped. There was plenty of parking, they were so fast with service as it was lunch time. I was so pleasantly surprised at this small steakhouse, I would say the people that live in this small town are very lucky to have it.","If I could give this place and these fine artists with food more than 5 stars I'd do it.I've now eaten here 3 times. The quality of the meat is exceptional, tender and properly cooked. The salads are fresh with a really smooth home recipe horseradish dressing - all optional - of course. They listened to me say that I didn't like girly sweet drinks and suggested the smoky old fashioned-- and shared a bit of the recipe. The pie!!! WOW!! who'd have thunk that pecan pie could be this good north of Richmond. But- its still called PEE-CAN ""we're south of you, but we're not in the south"" they said. And, ambience in the room is just right. Clean, calm, light enough to eat and see the colors of the great meat.... but still dark and relaxing after a long work day.... Wooden bar and decor  is calming. Staff is smart, well versed in the menu and listens to what you want. If you have a chance to eat here and don't, you're a damned fool.","Love the atmosphere, the location. Great food. Remind me of being back in real Italy. Service was excellent and courteous. Definitely recommend to anyone in the area to come here. A real gem!!",West Shore Inn Steakhouse
2,"The food, atmosphere, drinks are awesome! It's a little bit of an odd menu(Pizza/Sushi/burgers, Etc) but it works.My one complaint is the service. The hostesses and wait staff are just not good. Every time I've been here, the service has been bad. If the service could improve, this place would be amazing!On a side note- get the tavern dip, it's delicious!","Stef & I have stopped in here a few times for lunch,The food was Good,The service was good,The atmosphere was Nice.",The food here is delicious but the service is terrible. By the time they ask what you want you could have had 3 drinks already. But when we finally did order the waitress came with my drink but not my husbands. Then we ordered a second drink and it came after we were finished with our meal. Horrible.  But the food is fantastic. No matter what we order in Tommy's tavern it is fantastic. You should go there to experience the food but the service sucks!!!!!,"Great bar space with plenty of games on.  Food was fair to good. Great spot to watch a game with friends and order some appetizers. Restaurant was crowded w family's and it is a bit loud, but it's still pretty good.","Some of the dishes at Tommy's are extremely good.  Surprising entries in this category are the poké bowls, mussels, and Brussel sprouts.  What's rough is the attempt to be all things to all people.  For example, if you want to step it up with your menu, please execute the basics well.  The most disappointing menu items are those which seem to be staples: burgers, etc. If you manage to find very good dishes on the menu (eg poke and mussels per a live), you'll have to contend with the ridiculously high volume and wait times.  And that's when Tommy's loses points for certain.The bar is a crowded swirl or noise and what seems like 347 televisions.  While the crowd noise competes with myriad televisions, do your best to get the attention of the helpful and overstretched bartenders as they navigate the sea of customers.  The only thing worst is when someone decides the entire restaurant wants to watch the same channel and the place is transformed into what seems to be a state-run one channel option mess hall.Bottom line - recommended at times and mostly good, but avoid what may seem to be basics and have something new.","I really dont get the hype about this place. I came on a sunday afternoon for lunch and there was a short wait. We gave our phone number and when we received the text that our table was ready, we went right up to the host and were seated. However, we continued to receive both texts and calls about our available table and even a text that said they were giving away our table since we didnt answer. Not a big deal but not competent. Anyhow - we started off with the pretzel to share which was good. Its made in a coal oven and the taste definitely proved it! Our cheese that came with the pretzel had some kind of black thing inside so we didn't use it... but strange. My boyfriend ordered the mahi sandwich but we were informed they had no more of it. He quickly switched to a grilled chicken sandwich and I ordered a standard cheeseburger.According to my boyfriend, the sandwich was bland and you couldn't taste anything but the grilled chicken (he did say the chicken was good - just that the other flavors in the sandwich were overpowered and the seasoning was lacking.)My cheeseburger was okay. They made it rare as requested but my bun was greasy (what is with restaurants and slathering butter on EVERYTHING!) But once again, lacking flavors and seasoning. It tasted like ground beef unseasoned. I would have given this place maybe another star if the service had been better. We waited a solid 20 minutes for our waitress to bring us our check. When we searched for her, we spotted her by the kitchen eating. Listen, of course she deserves a break to eat. But shouldn't you at least finish with your tables first or pass them off to another employee? We went a long time without any one checking on us. Mind you, this was after we received boxes to wrap our food up. Clearly we were trying to leave and pay our bill. Our spaces were cleared and it was frustrating trying to find someone to get the check.It was super busy in here and lively but if you're not a sports fan, then I can't see why you would choose to spend money here.",Tommy's Tavern + Tap
3,What a disappointment!! I was so excited to try this restaurant after hearing good things.  The decor and view is great but the food was mediocre and the service was terrible.  We waited at the table for a long time before any waiter approached us. Was never offered more water. I can go on and on.  I will not be coming back.,"My boyfriend and I enjoyed an early dinner last Friday at the Richmond. The staff was attentive and hospitable. The restaurant is well decorated and the ambiance is intimate and warm. The food was delicious but, not as good as the sister restaurant Vinium across the street. I ordered the lamb Osso Bucco which was flavorful and cooked well,  9 out of 10. My boyfriend opted for the bouillabaisse. It was good but not great. We will most definitely be back.","Didn't love the food at all, drinks were weak . Atmosphere was nice , but def wasent one of my favorites. Kinda expensive","Sam, the General Manager is amazing. When it comes to managing a restaurant, he's the guy. He's owned restaurants here too and knows his stuff. Makes you feel welcome. I appreciated his table touch. Great conversation.Dana, my server is an absolute delight. Been here many times and always look out for her. Sit in her section on your next visit. She's attentive, funny and fast.For brunch and dinner, this is a new must check out on Staten Island. Make a reservation. This place fills up fast on the weekends.","We spotted The Richmond on our way out of Vinium (excellent place) a few weeks ago and decided to make it the next stop on our quest for good Island eats. As always, we were hopeful but guarded. Jackpot! In what has to be one of the prettiest restaurants I've seen anywhere, we had an amazing meal and a truly wonderful experience. We started out with oysters, smaller sized but pleasantly briny and delicious. Hubby ordered the duck breast special in a fig/balsamic reduction that was absolutely gorgeous and I had the grilled octopus over potato, asparagus and pickled red onion. Perfectly cooked octopus was tender, and both dishes were seasoned to perfection. We each enjoyed a Spiked Lemonade signature cocktail that was heaven. We ordered a carrot cake to share, not expecting it to be homemade....possibly the best carrot cake I've ever had. The staff is attentive without being overbearing, warm and easy to talk to, and brought us complimentary limoncellos after our meal. Can't recommend this place enough. Go now. Go often...and if you like, brunch is served on Saturday and Sunday.  Go then, too.","I can't think of any other fresh oyster spots on the island, and $1 per piece (at the bar)?! House wines were great, and the grilled octopus we ordered was spot on too. Met the owner and general manager, really made us feel welcomed and I can't wait to come back for brunch!",The Richmond
4,"It's very sad that this place has so many negatives because the interior is so beautiful. Went here for a family meal and my mother ordered the cacio de Pepe and she complained to me that it had too much pepper. I thought she was being dramatic until I tasted it and it was not edible. When the manager came over, this young full of himself guy, instead of apologizing, he told my mother ""this is how it's made in Rome"". As if the guy had ever been there and as if he has no taste buds. Apparently that dish is made there in large quantities even though it's such a simple dish and they cannot remake it with less pepper which is absurd. The overall food experience was sub par and all of the sides were super vinegary. The worst part of the experience was the obnoxious manager and his inability to rectify the issue and blame it on the customer.I wish I could recommend this place but I cannot.","So the place is in a nice location decorated nicely but that's where it ends. The bartenders are not attentive the seltzer was flat and drinks were weak. So we had a 9pm reservation for 8 for a birthday celebration. We sat down at about 10:30pm. There was no concessions for being super late. We sat down and two of the chairs at the table were broken. So we ordered the tuna tartar, pulpo and tuna belly. Pulpo was over cooked but the salad underneath was good. The tartar was gross and didn't eat it. The Tuna belly was good. For dinner we both had the Bronzino it was OK. One of our group order the seafood pasta it was so spicy no one could eat it. The waiter was rude when my wife said she had t ordered yet. He said yes you did the pen doesn't lie. I wanted to smack him. One appetizer was missed and was never received. The manager Came out and tried to make up for it with shots of tequila. To little to late. We ordered a piece of cake for the birthday bash so we could sing. They didn't have any cake and Cosme out with a piece of biscotti. In short this place failed on every level. Drinks service and food. The bill was almost $800. Totally screwed.","Horrible music , way to loud . Horrible food . Our waiter was amazing . Very friendly , kind and helpful. The manager was extremely helpful . They have a great staff, but they need to step up their game on their food. 3rd time there , keep trying but realizing it's not happening for this place . The mussels had no flavor in the juice , the pasta was dry, the chicken was just awful ,, came with 6 people all were unhappy . Get it together Barca","Great spot!!! We have been here multiple times as couples and the food, service and drinks are always great. The staff is extremely friendly and it has a city like vibe with great views of the city/water. The manger John is awesome remembers guest and always makes sure things come out properly and fast. All in all 5 star and a great date night if you live local in Staten Island. Thank you for the great hospitality we'll definitely be back. Don't think about it just go!","An incredible fine dining experience!Tastefully decorated, airy dining room.  It was a beautiful night, and they had the glass doors facing the water open, allowing for a lovely summer breeze throughout the room.Dutiful, attentive staff.  The maitre'd came around and chatted with us.  Anytime someone got up from the table, the server would immediately re-fold their napkin before they sat back down.The strawberry jalapeno cocktail was delicious and artfully presented. As for the food...  The mussel appetizer was perfection.  Perhaps the best mussel dish I've ever eaten.  I opted for a non-seafood entree and had the Mafaldine Bolognese.  It was without a doubt a perfect plate of freshly made pasta.  Well worth every dollar.  I would highly suggest Barca.","Went there the other night to celebrate my sister's birthday. Place is beautiful but that is where it ends. This place is toting itself as a high-end Manhattan style restaurant but comes NOWHERE near. I must say it will satisfy the tastes and standards of most Staten Islanders. Spent $322 plus a $64 tip and it was not worth it. Here's the breakdown:1. Maine oysters were excellent, but I can thank the people of Maine for that.2. We were asked to order our appetizers and entrees at the same time.  I explained to our waiter that we would be ordering different appetizers and sides, and entrees as our taste and appetite and taste allowed. This was NOT ACCEPTABLE which caused much tension that I had to press him to get the owner or manager over - no one came. At that point I wanted to leave. 3: Drinks: martinis came in a champagne coupe and half full - so they were technically half-martinis. My sister ordered two drinks and there was so much ice. Basically a three sip drink. 4. Pasta: my sister's fresh pasta was over cooked - fresh pasta should NEVER be overcooked. My fresh pasta of Cacio e Pepe was extremely al dente and overpowered with black pepper. And, I told my sister in advance that I had a feeling they would prepare the dish while the pasta was piping hot so that the cheese will clump up. I was right. I had to wait a bit, till it cooled a little, stirred it until the cheese melted like a cream. I did the chef's job.4. Desserts were good.There's more but it's not worth it. Basically the food and forced ordering made for a bad experience. The seafood is no different than any other place on Staten Island. This restaurant is doing well because it's clientele don't get off the island much.",Barca
5,The workers here are rude and dont care about customer satisfaction. They are easy to get angry from simply asking questions. Do not expect a refund on food you didnt eat or have a problem with. Tofu tastes about 6 years old. Will not be eating here again.,"Came for Pho as take out. Typically eat Pho in Manhattan and have had in Washington D.C. This pho was extremely lacking in comparison. Bland broth, overpowering onions, tough brisket, I couldnt eat it. 2 stars for ample portions. I have had better pho from Costco add water to ""cup of pho""  than here. Very disappointed. Won't be back.",Only 2 truly vegetarian dishes on whole menu. Enjoyed spicy tofu and veggies but wished for more options.,Amazing The food is always good and they serve large portions for reasonable prices. Staff is very polite as well. Parking can be a challenge but the food is worth it.,Pho Mac has Amazing Food Awesome Service and Great Prices My personal favorite is the Curry Chicken it's considered a appetizer but I eat it as a meal comes with Chicken wings and potato's in a delish curry. They serve it with hot bread or you can substitute for rice. I personally like to get both. Dipping that hot bread in the curry is AMAZING.,"Food: Beef stew is so good but only good if it's super fresh and hot. I microwaved it and it was a different taste the baguette it comes with is Soo soft and hot gotta eat it right away!The stew is sweet and delicious. The beef is a bit too big and chunky to eat so I prefer them to cut it smaller (or I can cut it)We got the #4 pho noodle soup and it's pretty bomb and very generous with the portions amount of meat. Love this on a cold winter day and any day. Broth makes it lit.Price: Those two orders total were around $17 but can probably feed around $3 since we're not big portion eaters. Service is quick for pick up, I called and 15 min later we got our food hot and fresh. They also have upstairs seating which is nice and spaciousTheir boba tea was pretty tasty too!It's the best pho place on the island if not only haha",Pho Mac Vietnamese Restaurant
6,"10x better than Red Lobster. Fresh seafood, but limited menu. It's not a place you'd expect to find in Bar Harbor Maine but man is it close!",After having bad seafood here almost half a year ago I tried it out today. This time having their seafood it was very fresh and the shrimp was mushy anymore. I would diff. come back.,Hi Anthony the restaurant have to make sure all seafoods are fresh and give more sause with no water together,"This place really delivers on the seafood front! They were running a special which was a seafood bag with a lobster tail, crab legs  shrimp, mussels, with corn and potatoes for like $35. We added Crawfish & chose their special sauce which is a blend of all the sauces on their menu and it was DELICIOUS! So flavorful, and everything comes out cooked perfectly. This was the best Lobster tail we've ever had. We also got fried Catfish for our appetizer and it was delicious. Our waiter Darrell was such a pleasure and super helpful with suggestions, he even taught us how to open a crawfish since it was our first time. We can't wait to return with the whole family. There is a new location opening on Forest Avenue and I can't wait to try them out!","Whenever I don't feel like driving to Joe's Lobster House I go here. The menu is quite limited and aside from their bakes, there is just several other things on the menu, from Po Boys to fried fish and sides. All of it is good and always fresh. The Fried shrimp is battered perfectly, crunchy and nice jumbo shrimp, about 8 of them for only $12 or so. Their french fries are excellent and I think they're the best fries I can get anywhere. They are crispy and seasoned perfectly with cajun all spice. Another staple is their fried catfish sliders. For $12 you get 3 huge sliders and the catfish is always fresh and flaky. Last but not least, the bakes! I usually get shrimp and mollusks, and they're always fresh. The shrimp is so fresh its almost crunchy. I think they sometimes get out of hand with oil in the clam bakes so I usually order them dry with Old Bay seasoning only.","Have been coming here for a while now, loved the place at first but every time I came here since it has been going down the hill and going down fast. First they changed up the menu and increased their prices-understandable, now they always have specials that they push which actually come out to be more expensive than the regular menu-not understandable. Walked In first customer of the day ordered the special food came in 5 minutes-happy because I was hungry but started wondering if it was just sitting around already cooked waiting just for me. Surprise surprise it was all way over cooked, couldn't even get the crab meat out of its shell because it was super rubbery and stuck to its shell for dear life. When paying I asked about the 10% off the bill as advertised on yelp-I was told I couldn't do that because I ordered the overpriced special. Oh well!!! This place was one of the first to do this style of food, but now there are a lot of better options!!! Maybe not on the island but if you can go to Brooklyn or NYC. Eat well, live well.P.S Review #2 As I mentioned before I have been to this place many a time, and every time they seemed to get worse and worse. Anyways, I was craving some seafood and something spicy and saw that there is a new hook and real opening up on Forrest ave, man did that put a smile on my face, only to find out that it's coming soon, bummer. Still hungry, and against my better judgement I decided to go back to the Hylan blvd location. I was prepared for the worst. To my surprise it was actually pretty good, the food was very tasty. Therefore I have added one more star to this review and will visit it one more time to make sure the changes are for real. After that, I will rate it for real one more time. Potatoes were a bit undercooked, and I didn't like it when the owner/manager kept on standing over each table hawkeyeing everyone. I need some space to do what I do to that seafood, but I guess that's how you get the quality up (hawkeyeing) Be back soon Eat well, yeah yeah",Hook & Reel
7,"The restaurant has sodas from the gun and they charge per glass. I don't mind paying for getting a coca cola, but when I do have to pay for it they should serve you the can or glass bottle so you always have the good quality expected. Charging per glass of soda from the gun is ridiculous. Any restaurant who does that should receive a 1 star as default. I'm writing this review and haven't even tasted the food yet. I'm already crossing this place of the list.The Soda issue was very well corrected by the staff later in the dinner, apparently they do have bottles (not glass though, unfortunately). I ordered the Rigatoni Bolognese and it was OK, nothing compared to the homemade sauce i get back in Brazil, but it had flavor to it.",Bus boy dropped macaroni sauce all over my shorts and sneakers no apology or cared that he did. I will never return to this restaurant again even though i was a frequent customer and loved their food. I've told many about this restaurant and I'm so upset i did. I thought it was so my go to place i guess not.,"Went here tonight for the first time- the food, service, decor, everything was phenomenal. My only complaint is when you walk in it's a bit hectic because the hostess is nowhere to be found. The owner,Dom, stopped by every table after the meal and introduced himself. Everything was delicious but we almost didn't even eat there because we got so annoyed at the 7 minute wait to be seated(or even see a hostess)Regardless, will definitely be back because the food and wait staff were phenomenal.","The food was delicious here at this stylish, Mediterranean restaurant.      The tenderness of the lamb shank was beyond this world and the saffron risotto is jam packed with flavor.     If you want good food with exceptional service, come to Taverna on the Bay.","Sometimes when I see a business w/ such good reviews, I worry they are not all real. But after eating here and talking w/ the owner, I realize why it has such a high rating. The owner is very sweet and is really passionate about his business and food. Lots of stuff is yummy here but honestly, get yourself there to eat the pizza. $12 for a large pie. Soooo yummy! I wish I ordered extras to take home. The prices are reasonable, they are generous, the food is fresh. The fried calamari is so good. Their marinara sauce is so delicious. When you sit down you're given fresh parmesan blocks off of a giant wheel, the most delicious olives, warm bread and butter. Dip your bread in the oil from olives. I wanted to drink it. And they'll bring you more bread w/o an extra charge. You will need it to sop up the tasty sauces and things.The red sangria is made there and aged by the owner. When you order a glass ($10), its full of ice, but a huge wine glass and strong. If you order by the bottle ($30) they give you a bottle and then glasses w/ ice. They have white too but didn't try it. A table near us asked for extra ice and they gave them a cute little ice bucket. The grilled octopus special ($21) is tender and a generous portion. The baked clams were good but not our favorite. I think it was 9 clams total. I didn't taste it but my husband had goat cheese app and it was 2 generous pieces of fried goat cheese that he gobbled up and cleaned his plate. The waiter was very nice but coughing a little. I wished he was covering his mouth. And the service was great until the place filled up and the poor guy was serving everyone by himself and he forgot a few things and it was hard to get his attention. There is valet parking and street parking but Sunday wasn't hard to find parking on the street. There is a patio -  I think you can smoke there. A party room. Really clean ladies room- means a clean kitchen! It's a little dark inside. I wish it was brighter.","On that day I went with a friend, we took one of the most important exam we had to take for our career and we passed the exam. However we felt shitty due to the stress we had to go through to study and take exam. We thought why not celebrate the passing score and to de stress with PIZZA. We walked over from the testing center to this pizza place. It is the only location that's open before noon and so thankful we stumbled into this place. The friend I was with, loves the food from this place. We decided to order a pie of pizza, fresh tomatoes, fresh mozzarella and eggplant toppings. We split the pie and ate it. I have not eaten pizza for a year or two due to Keto food plan I am on. Lemme tell you. The crust is perfect. Not thin or thick. Just right. The toppings are delicious. I was over the moon with the pizza and I was happy. It's definitely worth my cheat meal!Half of the pie eaten with club soda and vodka. The drinks were made weak. I'll come back any day for their pizza.",Taverna On The Bay
8,"We went to a birthday celebration, had a few drinks and really enjoyed the food. The music was loud, but it's a bar, if you're not expecting loud music, you're a moron? The staff were nice and the prices were reasonable. I highly recommend the lobster ravioli with vodka sauce (as crazy as it sounds) it was insanity. They had cheap apps for happy hour too. It was a chill atmosphere.","I haven't eaten here, just came a couple of times because of good local bands. Here's my criticism..bartenders are young and the both times I've been there, the crowd is a bit older. We got a drink initially,  but no one came back to see if we wanted anything else or even made eye contact, and we tried to engage them. Probably wont be back, you lost us","This place is odd.  It's listed as having a happy hour but they didn't answer the phone last Friday when we called!  They should at the very least have an answering machine!!  Don't know what to make of that, but needless to say we did not go. I like to give new businesses a try, but not sure we'll bother unless I see less discriminatory behavior from the restaurant in the yelp reviews.","Stef and I stopped in last Friday, it was the afternoon before the recent Heat Wave, and it was already getting hot outside.Luckily we had the day off, and were in the mood for a little Day Drinking.The barmaid was charming and  served us up a few very refreshing Vodka & Tonics.We ordered the Brussels Sprout Skewers along with an order of Guacamole, a weird combo I admit, but it worked for us.The music played pleasantly in the background.It was a Good Day.","Last Saturday night my Girl & I meet another couple at the GOAT for Dinner & Drinks.We were told that have an acoustic band would be starting soon, which is great because SI needs more music venues.The Service was friendly,The Drinks were good.We enjoyed our appetizers.However, the band turned out to use Amps that were apparently stuck on Eleven!The sound was so loud that we left before eating our entries.",Yo I'm sorry and all but by all means why was the bouncer standing over our drinks?Protect us?  Looks more like they're supplying,The G.O.A.T
9,Tried to write on Instagram but it got deleted. This place has inattentive staff and mediocre food.,"Angelina is a cheap, money hungry selfish bitch. We have gone to Angelina's plenty of times. After all she adds on extra items to your bill with big parties thinking you don't notice, TWICE this happened to me. Alsoooo she has the staff tell you AFTER you eat ""cash only OR IF you use credit card it's 3.375% charge fee for using a credit card. The staff said this is new and it's on the menu , yup we saw it afterwards in SMALL FONT ON the BOTTOM. Very unprofessional ; my salad had no flavor, the pizza was cold. don't give her service .","Small portions, high prices, salmon didn't taste fresh and bread could break a tooth.","Very nice atmosphere, friendly staff.Food and drinks were good however we found it to be a little overpriced; so just to give you an idea we ordered a sangria jar, no appetizer, and two chicken plates for the main dish. Well the bill came out to 110 dollars including the tip. Overall, we had a good experience. We will be back  to try their pizzas.","Cool place to check out, but is it worth the price...Once you walk in you are greeetd by some lovely staff members. Most looked young, and very happy.  I thought it was strange, you don't normally get a nice welcome when you go to a busy place, and by young kids. I have to commend the staff here; they do a great job of making your stay very pleasant and enjoyable.Second thing you notice is the decor. It is decorated with some unique fixtures, and it makes you feel like you're in an Italian restaurant. They have a pretty big dining area, and a good size bar with high-top seating.What really got to me was the menu and pricing. The menu is not huge, but it has all the offerings you need for a nice Italian meal. Their specialty is their unique pizzas. Different pizzas that hit different aspects of your taste buds.To make a long story short, I had:-Homemade courtesy bread with a side of ricotta with honey for dipping - It was nice and enjoyable, but not fresh made.-Fried calamari appetizer - Did not like at all.It was a long strand of fried calamari which made me question if it's real or fake. The pics on Yelp show the normal oval shaped calamari with the tentacles. ALSO, it came with fried vegetables. The menu did not say it comes with that. PLUS, that takes away from the quantity of the fried calamari. So I'm paying for half fried calamari and half fried vegetables!-Arugula salad with grilled chicken - Decent, nothing spectacular.-Bee Sting Pizza with mushrooms (extra $) - Nothing to brag about.It has a spicy kick from the sopresata, and the sweetness of the honey. The dough and sauce were bland.I added the mushrooms thinking it would offset the spiciness, BUT where were the mushrooms?!?!?!  I paid extra money on top of the expensive pizza, and I feel cheated again.-Bacio Gelato - Pretty good Italian gelato. Probably the best thing of the meal.A salad with grilled chicken, fried calamari & vegetable appetizer, a pizza pie and gelato costed a total of $75!!! No drinks by the way. On top of the expensive menu, this business charges an EXTRA 3.75% on your bill if you use a debit/credit card.Overall, this business knows how to take your money. I wish the food was something to brag about for the money you're shelling out. The staff is superb, and they all need raises. In fact I did tip nicely ($20) even though I felt the bill was too high.",Excellent service and menu!Very nice atmosphere Come by and check it out !See you there on Thursdays,Angelina's Kitchen
