,restaurant,negfood_score,negservice_score,posfood_score,posservice_score
0,Upstate,0.040322580645161005,0.040322580645161005,0.701612903225806,0.21774193548387
1,Amélie,0.040650406504065005,0.016260162601626,0.585365853658536,0.35772357723577203
2,Clinton Street Baking Company,0.070866141732283,0.0,0.8031496062992121,0.12598425196850302
3,LoveMama,0.08196721311475401,0.016393442622950002,0.745901639344262,0.15573770491803202
4,BoCaphe,0.08333333333333301,0.041666666666666005,0.616666666666666,0.258333333333333
5,Anytime,0.016393442622950002,0.024590163934426004,0.7295081967213111,0.22950819672131098
6,Barn Joo 35,0.07438016528925599,0.016528925619834,0.6859504132231401,0.223140495867768
7,Thai Villa,0.015748031496062,0.031496062992125005,0.5039370078740151,0.44881889763779503
8,Jacob's Pickles,0.031496062992125005,0.047244094488188,0.732283464566929,0.188976377952755
9,Raku1,0.041666666666666005,0.0,0.8916666666666658,0.06666666666666599
10,Burger & Lobster1,0.055555555555555004,0.055555555555555004,0.5238095238095231,0.365079365079365
11,Boucherie West Village,0.0390625,0.0234375,0.7187500000000001,0.21875000000000006
12,Uglyduckling,0.095238095238095,0.07142857142857101,0.5238095238095231,0.30952380952380903
13,Aunt Jake's,0.057377049180327,0.032786885245901,0.6475409836065571,0.262295081967213
14,Joe's Shanghai,0.1,0.025,0.7583333333333331,0.116666666666666
15,nonono,0.032,0.024,0.784,0.16
16,Chow House,0.08730158730158699,0.023809523809523003,0.8015873015873011,0.08730158730158699
17,Jajaja,0.016528925619834,0.033057851239669,0.586776859504132,0.36363636363636304
18,Root & Bone,0.049180327868852014,0.0,0.8196721311475411,0.131147540983606
19,Tonkatsu Matsunoya,0.08943089430894301,0.05691056910569101,0.6991869918699181,0.15447154471544702
20,Sweet Chick1,0.058823529411764,0.039215686274509005,0.6764705882352939,0.22549019607843104
21,Juliana's Pizza,0.040983606557377004,0.016393442622950002,0.7868852459016391,0.15573770491803202
22,Thursday Kitchen,0.0,0.024193548387096003,0.8145161290322581,0.16129032258064502
23,Jack's Wife Freda1,0.041666666666666005,0.025,0.6583333333333331,0.275
24,TONCHIN NEW YORK,0.03125,0.0,0.9140625,0.0546875
